InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12-01-2022 08:45,3.75,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12-01-2022 08:45,3.75,12583,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12-01-2022 08:45,3.75,12583,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12-01-2022 08:45,0.85,12583,France
536370,21883,STARS GIFT TAPE ,24,12-01-2022 08:45,0.65,12583,France
536370,22002,INFLATABLE POLITICAL GLOBE ,48,12-01-2022 08:45,0.85,12583,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12-01-2022 08:45,1.25,12583,France
536370,22235,SET/2 RED RETROSPOT TEA TOWELS ,18,12-01-2022 08:45,2.95,12583,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12-01-2022 08:45,2.95,12583,France
536370,22629,SPACEBOY LUNCH BOX ,24,12-01-2022 08:45,1.95,12583,France
536370,22659,LUNCH BOX I LOVE LONDON,24,12-01-2022 08:45,1.95,12583,France
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12-01-2022 08:45,1.95,12583,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12-01-2022 08:45,0.85,12583,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12-01-2022 08:45,1.65,12583,France
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12-01-2022 08:45,2.95,12583,France
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12-01-2022 08:45,3.75,12583,France
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12-01-2022 08:45,0.42,12583,France
536370,22544,MINI JIGSAW SPACEBOY,24,12-01-2022 08:45,0.42,12583,France
536370,22492,MINI PAINT SET VINTAGE ,36,12-01-2022 08:45,0.65,12583,France
536370,POST,POSTAGE,3,12-01-2022 08:45,18,12583,France
536389,22941,CHRISTMAS LIGHTS 22 REINDEER,6,12-01-2022 22:03,8.5,12431,Australia
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,12-01-2022 22:03,4.95,12431,Australia
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12-01-2022 22:03,1.25,12431,Australia
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,12-01-2022 22:03,5.45,12431,Australia
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,12-01-2022 22:03,6.35,12431,Australia
536389,85014B,RED RETROSPOT UMBRELLA,6,12-01-2022 22:03,5.95,12431,Australia
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,12-01-2022 22:03,5.95,12431,Australia
536389,22193,RED DINER WALL CLOCK,2,12-01-2022 22:03,8.5,12431,Australia
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,12-01-2022 22:03,3.75,12431,Australia
